"Add New Customer","Add New Customer"
Sales,Sales
"Enable Restriction","Enable Restriction"
"Store Views","Store Views"
Category,Category
"You have to select Root Category before selecting Children Categories  ","You have to select Root Category before selecting Children Categories  "
Product,Product
"Apply For","Apply For"
Customer,Customer
"Product Attributes","Product Attributes"
"User Role","User Role"
"Customize Limit Action","Customize Limit Action"
Enable,Enable
"Admin Permissions","Admin Permissions"
Add,Add
ID,ID
Type,Type
Model,Model
Controller,Controller
Class,Class
Action,Action
"Customer ID","Customer ID"
Name,Name
Email,Email
"Customer Group","Customer Group"
"Web Site","Web Site"
"Account Create In","Account Create In"
"Attribute Code","Attribute Code"
"Default Label","Default Label"
Required,Required
System,System
Yes,Yes
No,No
Scope,Scope
"Store View","Store View"
Global,Global
"Product ID","Product ID"
Sku,Sku
Price,Price
Position,Position
Role,Role
"Allow For Specific Categories","Allow For Specific Categories"
"Deny For Specific Categories","Deny For Specific Categories"
"Allow For Specific Customers","Allow For Specific Customers"
"Deny For Specific Customers","Deny For Specific Customers"
"Please Select","Please Select"
Monday,Monday
Tuesday,Tuesday
Wednesday,Wednesday
Thursday,Thursday
Friday,Friday
Saturday,Saturday
Sunday,Sunday
Allow,Allow
Disallow,Disallow
All,All
"Specific Products","Specific Products"
"Products created by this user","Products created by this user"
"Products created by the same-role users","Products created by the same-role users"
"Allow For Specific Product Attributes","Allow For Specific Product Attributes"
"Deny For Specific Product Attributes","Deny For Specific Product Attributes"
"Allow For Specific Products","Allow For Specific Products"
"Deny For Specific Products","Deny For Specific Products"
"Allow For Specific Stores","Allow For Specific Stores"
"Deny For Specific Stores","Deny For Specific Stores"
"Allow For Specific Roles","Allow For Specific Roles"
"Deny For Specific Roles","Deny For Specific Roles"
"You need more permissions to access in this time.","You need more permissions to access in this time."
"You don't have permission to create category","You don't have permission to create category"
"You don't have permission to edit %1 category","You don't have permission to edit %1 category"
"You don't have permission to delete model","You don't have permission to delete model"
"You don't have permission to load model","You don't have permission to load model"
"You don't have permission to create model","You don't have permission to create model"
"You don't have permission to save model","You don't have permission to save model"
"You don't have permission to delete %1 customer","You don't have permission to delete %1 customer"
"You don't have permission to create new customer","You don't have permission to create new customer"
"You don't have permission to edit %1 customer","You don't have permission to edit %1 customer"
"You don't have permission to delete %1 product","You don't have permission to delete %1 product"
"You don't have permission to create product","You don't have permission to create product"
"You don't have permission to edit %1 product","You don't have permission to edit %1 product"
"You don't have permission to delete %1 attribute","You don't have permission to delete %1 attribute"
"You don't have permission to create attribute","You don't have permission to create attribute"
"You don't have permission to edit %1 attribute","You don't have permission to edit %1 attribute"
"You don't have permission to create role","You don't have permission to create role"
"You don't have permission to edit %1 role","You don't have permission to edit %1 role"
"Something went wrong while saving admin permissions","Something went wrong while saving admin permissions"
"Something went wrong while deleting product %1. %2","Something went wrong while deleting product %1. %2"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Valid Time","Valid Time"
"Select Day(s)","Select Day(s)"
"Apply From Date","Apply From Date"
"Apply To Date","Apply To Date"
From,From
To,To
"Save and Continue Edit","Save and Continue Edit"
"Save Customer","Save Customer"
Status,Status
New,New
Save,Save
Load,Load
Delete,Delete
Disable,Disable
"Export to:","Export to:"
"records found","records found"
selected,selected
"per page","per page"
"Previous page","Previous page"
"of %1","of %1"
"Next page","Next page"
"Class will auto scan every week, so you do not need to scan if you do not add/remove any controller/model files of the week.","Class will auto scan every week, so you do not need to scan if you do not add/remove any controller/model files of the week."
"Rescan Classes","Rescan Classes"
"All Customers","All Customers"
Actions,Actions
General,General
